Chr	start	end	strand
Chr2	11123200	11123428	+
Chr2	5118970	5119169	-
Chr2	3137336	3138760	-
Chr2	1210368	1211793	+
Chr2	9132015	9132242	+
Chr2	1691112	1691137	+
Chr2	7261626	7261696	-
Chr2	11839223	11839455	-
Chr2	3301802	3303203	+
Chr2	11302823	11303056	+
Chr2	10049336	10049920	-
Chr2	596349	597748	-
Chr2	5142059	5142292	+
Chr2	1433770	1434003	+
Chr2	10935871	10936102	-
Chr2	5258059	5259426	+
Chr2	4446475	4448977	-
Chr2	5271517	5271962	+
Chr2	10045354	10045588	+
Chr2	7032512	7032744	-
Chr2	10140614	10140849	+
Chr2	7322419	7323816	+
Chr2	4471580	4471730	+
Chr2	7813202	7813402	-
Chr2	5264792	5265237	+
Chr2	5886607	5888004	+
Chr2	3275024	3275258	+
Chr2	6441589	6442987	-
Chr2	5670143	5671281	+
Chr2	2630315	2631713	+
Chr2	824786	825021	+
Chr2	963292	963521	-
Chr2	5588706	5588937	-
Chr2	7006420	7007823	+
Chr2	4775371	4775601	-
Chr2	2290149	2291556	+
Chr2	1786792	1786833	+
Chr2	4800143	4800375	+
Chr2	1439012	1440420	-
Chr2	16814414	16814644	-
Chr2	6410283	6410512	-
Chr2	12916894	12918302	-
Chr2	5166436	5166667	+
Chr2	19527701	19527733	+
Chr2	2158785	2160189	-
Chr2	5763127	5763357	-
Chr2	5609601	5609831	-
Chr2	2911498	2911654	-
Chr2	11337571	11337804	+
Chr2	8236023	8236256	+
Chr2	8088589	8088821	+
Chr2	6904074	6904307	+
Chr2	9754805	9755035	-
Chr2	5100093	5111544	+
Chr2	8296255	8297658	-
Chr2	4227441	4227483	+
Chr2	1850221	1850451	-
Chr2	1567247	1567430	-
Chr2	3191788	3192021	-
Chr2	2121886	2129089	-
Chr2	6014721	6014945	-
Chr2	6539391	6539610	-
Chr2	3307694	3307913	-
Chr2	14333263	14335722	-
Chr2	6472186	6472407	+
Chr2	13633555	13635046	+
Chr2	1440846	1441066	+
Chr2	2461726	2468223	+
Chr2	7529642	7531113	+
Chr2	2953330	2953550	+
Chr2	2602448	2603916	-
Chr2	5319818	5320036	-
Chr2	3820356	3820574	-
Chr2	12245011	12246475	-
Chr2	6787418	6787624	+
Chr2	4451557	4451779	+
Chr2	2998278	2999735	-
Chr2	15845108	15845330	+
Chr2	2310984	2312454	-
Chr2	4146665	4148108	+
Chr2	1123884	1124103	-
Chr2	2919888	2920072	-
Chr2	2104851	2105072	+
Chr2	2455714	2457177	-
Chr2	9456575	9456750	+
Chr2	1090485	1092946	-
Chr2	12031918	12032096	+
Chr2	11982481	11983952	-
Chr2	8035386	8036872	+
Chr2	7351597	7351815	+
Chr2	291482	291698	-
Chr2	8436556	8436774	+
Chr2	9723299	9723517	+
Chr2	5465930	5466054	-
Chr2	5040995	5048412	+
Chr2	2638832	2648149	+
Chr2	11230835	11231050	-
Chr2	6450565	6450624	-
Chr2	11769516	11770995	+
Chr2	5610254	5610302	-
Chr2	5457469	5457685	-
Chr2	13266675	13266894	+
Chr2	5173570	5173789	+
Chr2	5127479	5127696	-
Chr2	152982	153199	-
Chr2	1709584	1709801	-
Chr2	1801737	1803472	-
Chr2	18041932	18042151	+
Chr2	4852160	4852583	+
Chr2	3898039	3900548	+
Chr2	4522545	4524021	+
Chr2	6383143	6383276	-
Chr2	3198632	3198726	-
Chr2	7058221	7058441	-
Chr2	5215099	5215319	-
Chr2	11498451	11499890	-
Chr2	2225970	2226024	+
Chr2	5517609	5520081	-
Chr2	7351988	7352209	-
Chr2	12811691	12811914	-
Chr2	2922388	2923829	+
Chr2	1734596	1736038	-
Chr2	5479206	5481678	+
Chr2	14534919	14535142	-
Chr2	13250210	13251646	-
Chr2	1461263	1461488	+
Chr2	10368954	10369177	-
Chr2	4162311	4169555	+
Chr2	8890941	8891167	+
Chr2	2364154	2365948	+
Chr2	11398389	11398505	-
Chr2	15110102	15110326	-
Chr2	3531452	3531674	-
Chr2	7206513	7207947	-
Chr2	2811680	2813114	-
Chr2	6450341	6450564	-
Chr2	5774527	5774612	-
Chr2	4438079	4438132	-
Chr2	10359946	10360203	-
Chr2	1947596	1949041	-
Chr2	12979089	12980532	-
Chr2	5882871	5883093	-
Chr2	4645997	4646220	+
Chr2	3301613	3301801	+
Chr2	12480645	12480759	-
Chr2	6142817	6142983	-
Chr2	3845316	3852606	-
Chr2	6162809	6162958	-
Chr2	2082515	2082737	+
Chr2	10644602	10646056	-
Chr2	400079	400300	+
Chr2	19322501	19323957	+
Chr2	5218775	5218996	-
Chr2	1613884	1613977	-
Chr2	4381396	4397150	+
Chr2	6877361	6877583	-
Chr2	6296047	6296271	+
Chr2	3742096	3749364	-
Chr2	1226207	1227657	+
Chr2	5505886	5506110	+
Chr2	240622	240846	+
Chr2	19527734	19529185	+
Chr2	2367078	2369546	+
Chr2	8885781	8885997	-
Chr2	7528840	7529062	-
Chr2	1642742	1642936	+
Chr2	4306387	4307780	-
Chr2	5024025	5026526	-
Chr2	2628285	2629677	+
Chr2	9419970	9420219	+
Chr2	8173700	8175030	-
Chr2	7856273	7856520	-
Chr2	2935657	2938180	+
Chr2	7350212	7351546	+
Chr2	1570092	1570339	-
Chr2	10524	13069	-
Chr2	4125561	4125807	-
Chr2	4099089	4100423	+
Chr2	6485328	6485577	+
Chr2	11991785	11993117	+
Chr2	5762795	5763044	+
Chr2	6862822	6864153	+
Chr2	2318270	2318503	+
Chr2	10689967	10690215	-
Chr2	5483744	5490467	-
Chr2	5285586	5286908	-
Chr2	5468373	5469707	+
Chr2	2344828	2345076	-
Chr2	11502878	11503092	-
Chr2	7289218	7291729	-
Chr2	2832363	2833661	+
Chr2	18957695	18957944	+
Chr2	5414855	5414895	-
Chr2	3796207	3796457	+
Chr2	2618649	2618894	-
Chr2	7695763	7696010	+
Chr2	13095390	13095418	-
Chr2	1929412	1930752	+
Chr2	9736180	9736424	-
Chr2	15288589	15288617	-
Chr2	1312743	1314083	+
Chr2	2472915	2473160	+
Chr2	2852648	2854329	-
Chr2	2264686	2264848	-
Chr2	6123503	6123748	+
Chr2	5534248	5534492	-
Chr2	7113239	7120081	+
Chr2	5583337	5583581	-
Chr2	9455235	9456574	+
Chr2	17216814	17217059	-
Chr2	9757461	9757491	+
Chr2	3956853	3959397	+
Chr2	1288668	1288912	-
Chr2	14842136	14842158	-
Chr2	14840799	14842135	-
Chr2	4609296	4609334	-
Chr2	12719457	12720796	+
Chr2	5297231	5306835	-
Chr2	5081406	5081652	+
Chr2	2791702	2800659	+
Chr2	4422599	4422842	-
Chr2	13737023	13737273	+
Chr2	3092771	3093021	+
Chr2	10877431	10878744	+
Chr2	13432976	13433227	-
Chr2	18091979	18092230	-
Chr2	14267404	14267655	-
Chr2	2983606	2983859	+
Chr2	2461576	2461725	+
Chr2	6778862	6785573	-
Chr2	3575486	3575737	-
Chr2	6373253	6373488	-
Chr2	4137081	4137117	+
Chr2	5456825	5456955	-
Chr2	15729521	15729772	-
Chr2	3720206	3721518	+
Chr2	8874966	8875218	-
Chr2	9773836	9774088	-
Chr2	6377808	6379115	+
Chr2	1965809	1965915	+
Chr2	4823784	4824037	+
Chr2	203543	203795	-
Chr2	8424818	8426128	+
Chr2	13172142	13172395	+
Chr2	10194706	10194957	-
Chr2	9798472	9798542	-
Chr2	5800102	5800354	-
Chr2	8016047	8016295	-
Chr2	12180682	12180935	+
Chr2	5778639	5778889	-
Chr2	7109740	7111059	-
Chr2	9726310	9726374	-
Chr2	2119308	2119463	-
Chr2	11433363	11433612	-
Chr2	11711114	11711365	+
Chr2	1879065	1880386	+
Chr2	9468353	9469673	-
Chr2	1803766	1804016	+
Chr2	7656773	7657022	-
Chr2	4589569	4590885	-
Chr2	1271982	1272231	-
Chr2	5111840	5112091	+
Chr2	2218965	2220284	+
Chr2	11562235	11562459	-
Chr2	13423408	13424721	-
Chr2	7916845	7917097	+
Chr2	1709097	1709349	+
Chr2	811547	812862	+
Chr2	5732176	5732215	+
Chr2	6732965	6733217	+
Chr2	2195658	2195907	-
Chr2	4255849	4255883	-
Chr2	113475	114791	-
Chr2	6489633	6489883	-
Chr2	16417618	16417863	+
Chr2	7874418	7874504	+
Chr2	6886557	6887874	+
Chr2	2349457	2349693	-
Chr2	10061942	10063319	+
Chr2	1593980	1594219	+
Chr2	3117104	3117340	-
Chr2	5873176	5874555	+
Chr2	4870415	4870647	-
Chr2	11359968	11360206	+
Chr2	6723444	6723766	+
Chr2	5772999	5773237	+
Chr2	8218676	8218915	+
Chr2	4021278	4021314	-
Chr2	14921044	14921281	-
Chr2	4707148	4709667	-
Chr2	4500831	4502203	+
Chr2	7899776	7901147	+
Chr2	6070846	6082356	+
Chr2	1140522	1141892	-
Chr2	14557053	14557090	-
Chr2	4084298	4086823	-
Chr2	3196000	3197374	+
Chr2	4568306	4569680	-
Chr2	18561894	18562133	+
Chr2	13211355	13211592	+
Chr2	14572822	14572986	+
Chr2	13064170	13064196	+
Chr2	4326584	4327964	-
Chr2	3560648	3560883	-
Chr2	11379177	11379214	-
Chr2	2454398	2454634	+
Chr2	6119143	6119255	+
Chr2	12556267	12556550	-
Chr2	18353682	18353916	-
Chr2	1556517	1556751	-
Chr2	6561058	6561294	+
Chr2	1803533	1803765	-
Chr2	5591472	5592863	+
Chr2	2104401	2104635	-
Chr2	1841036	1841075	+
Chr2	1222978	1224368	+
Chr2	368356	368592	+
Chr2	514681	517194	+
Chr2	7375615	7375852	+
Chr2	8236263	8237646	+
Chr2	754359	754596	+
Chr2	2579377	2579614	+
Chr2	1598733	1598968	-
Chr2	3546593	3546828	-
Chr2	11395884	11396031	-
Chr2	4489281	4490650	+
Chr2	6239850	6240087	+
Chr2	4077882	4079717	-
Chr2	401007	401157	+
Chr2	12740683	12740923	+
Chr2	10706131	10706371	+
Chr2	4336398	4337750	+
Chr2	12091953	12094487	+
Chr2	3013132	3014478	-
Chr2	4738962	4739203	-
Chr2	6708078	6708273	-
Chr2	18350165	18350406	-
Chr2	6533083	6533326	+
Chr2	4184977	4185220	+
Chr2	5362153	5365114	+
Chr2	3197375	3197407	+
Chr2	2028236	2028479	+
Chr2	4360163	4361509	-
Chr2	12693396	12693640	+
Chr2	4873130	4888043	-
Chr2	1387175	1387298	+
Chr2	18709117	18709168	+
Chr2	2109885	2110083	-
Chr2	6803131	6804492	+
Chr2	1792237	1792479	-
Chr2	3155521	3155663	-
Chr2	8824179	8824416	+
Chr2	3059458	3060803	-
Chr2	6978799	6979043	+
Chr2	4360142	4360162	-
Chr2	870816	871058	+
Chr2	3455421	3455661	-
Chr2	9757492	9758854	+
Chr2	2245930	2246168	-
Chr2	5145644	5146995	+
Chr2	4425637	4428291	+
Chr2	4059367	4059391	+
Chr2	2655206	2655340	-
Chr2	2504277	2504515	-
Chr2	10466227	10467597	+
Chr2	4824788	4826159	+
Chr2	8893296	8893462	+
Chr2	5516624	5516862	-
Chr2	2578687	2578925	-
Chr2	1170283	1170500	+
Chr2	2513446	2514798	+
Chr2	1005122	1005363	+
Chr2	9311659	9313019	-
Chr2	12046998	12047238	-
Chr2	9795835	9796075	-
Chr2	4105107	4105349	+
Chr2	9558214	9558409	-
Chr2	5592864	5593106	+
Chr2	10825415	10825487	+
Chr2	3604313	3605677	+
Chr2	187245	187484	-
Chr2	14931771	14932013	+
Chr2	3115588	3116951	+
Chr2	2414346	2414601	+
Chr2	3580437	3580464	+
Chr2	2180355	2180570	-
Chr2	2867876	2867962	+
Chr2	5278271	5279897	+
Chr2	1804018	1821234	-
Chr2	8037414	8037601	+
Chr2	7094590	7094777	+
Chr2	11508129	11508158	-
Chr2	2149360	2149471	-
Chr2	4715985	4723844	+
Chr2	17190093	17190280	+
Chr2	2786398	2788004	-
Chr2	1259648	1259836	+
Chr2	16623793	16623979	-
Chr2	1733206	1733392	-
Chr2	282555	282744	+
Chr2	5413239	5414854	-
Chr2	2958934	2959114	+
Chr2	4055977	4056000	-
Chr2	2973441	2973627	+
Chr2	7085243	7085432	+
Chr2	3906169	3907788	-
Chr2	6329641	6344951	-
Chr2	1787277	1787464	-
Chr2	1438822	1438882	+
Chr2	3973250	3975620	+
Chr2	5884348	5884535	-
Chr2	6514757	6516381	-
Chr2	4838297	4838481	-
Chr2	13237347	13237529	-
Chr2	9262087	9262271	+
Chr2	4313074	4313218	+
Chr2	5942205	5942387	-
Chr2	6692437	6692580	-
Chr2	13185547	13185728	-
Chr2	590056	590239	+
Chr2	2804424	2804572	+
Chr2	2699309	2709964	-
Chr2	4132447	4134061	-
Chr2	7653830	7654013	-
Chr2	7409626	7409769	-
Chr2	3209005	3209188	-
Chr2	9790979	9791161	+
Chr2	5149572	5151199	+
Chr2	9688164	9688350	+
Chr2	9888079	9888263	-
Chr2	4649832	4650018	+
Chr2	4748517	4752465	-
Chr2	4246239	4249248	-
Chr2	4853656	4855287	+
Chr2	8182580	8182764	-
Chr2	2721276	2722904	-
Chr2	5275945	5280409	+
Chr2	4023318	4024951	-
Chr2	1629644	1637481	-
Chr2	3025828	3026015	-
Chr2	7170660	7170853	+
Chr2	6216856	6217049	+
Chr2	4978138	4978332	+
Chr2	6248273	6250339	-
Chr2	9418860	9419033	-
Chr2	16814293	16814413	-
Chr2	15007634	15009235	+
Chr2	18993457	18993564	+
Chr2	3882538	3884137	-
Chr2	3094962	3096558	+
Chr2	4760269	4760430	+
Chr2	919815	920007	-
Chr2	3876712	3878306	-
Chr2	13269614	13269639	-
Chr2	6110680	6113207	+
Chr2	8450069	8450094	-
Chr2	2971056	2973440	+
Chr2	2134051	2134368	+
Chr2	3139308	3140895	-
Chr2	7418698	7418746	+
Chr2	14402228	14402422	+
Chr2	8917299	8917491	-
Chr2	4236657	4244403	+
Chr2	933324	933516	-
Chr2	4251551	4251740	+
Chr2	4358542	4360141	-
Chr2	13173887	13174079	+
Chr2	5146996	5147185	+
Chr2	5362754	5364364	-
Chr2	1256732	1256831	-
Chr2	7596101	7596291	+
Chr2	6139499	6141111	-
Chr2	11183384	11183574	+
Chr2	1546873	1547060	-
Chr2	401158	402774	+
Chr2	3527954	3528142	-
Chr2	6263279	6271099	-
Chr2	18136863	18137127	-
Chr2	4422530	4422598	-
Chr2	3676756	3678366	+
Chr2	17904167	17904193	-
Chr2	3963520	3965120	-
Chr2	18563617	18563809	+
Chr2	5739438	5739477	+
Chr2	8227940	8228130	-
Chr2	12738687	12740291	-
Chr2	2574503	2574692	-
Chr2	3152158	3154869	-
Chr2	8548392	8548581	-
Chr2	3862947	3863316	-
Chr2	9736444	9736633	-
Chr2	7712516	7712708	-
Chr2	1716428	1716448	+
Chr2	5761105	5762740	-
Chr2	10779527	10779705	+
Chr2	6583175	6583351	-
Chr2	2855656	2857328	-
Chr2	5313261	5314936	+
Chr2	275809	275985	-
Chr2	422973	423151	+
Chr2	1709802	1709978	-
Chr2	1233380	1233558	+
Chr2	374589	376262	-
Chr2	3815919	3816061	-
Chr2	2338770	2338863	+
Chr2	3601951	3601979	-
Chr2	240579	240621	+
Chr2	6711939	6712118	+
Chr2	376263	376287	-
Chr2	6457326	6457503	-
Chr2	11163909	11164086	-
Chr2	12554586	12556266	-
Chr2	4218953	4219022	-
Chr2	4439616	4439707	-
Chr2	11559449	11561789	+
Chr2	4101078	4102741	-
Chr2	1240985	1243325	+
Chr2	4026729	4026906	-
Chr2	3560884	3561061	-
Chr2	1990381	1990559	+
Chr2	2789109	2790792	+
Chr2	5565096	5573068	+
Chr2	11908690	11908867	+
Chr2	14458396	14458571	-
Chr2	6675300	6675319	-
Chr2	2092827	2096399	-
Chr2	4538821	4540514	+
Chr2	2261230	2261382	-
Chr2	4896052	4897744	-
Chr2	706883	707022	+
Chr2	6579574	6581820	-
Chr2	5665495	5665672	+
Chr2	2514799	2517448	-
Chr2	3900549	3902230	-
Chr2	10938912	10939059	+
Chr2	10640024	10640086	+
Chr2	9975831	9976009	+
Chr2	3211703	3213374	-
Chr2	6675320	6675496	-
Chr2	13065743	13065919	-
Chr2	2389185	2390869	-
Chr2	16371448	16371625	+
Chr2	4650019	4650196	+
Chr2	2346316	2346491	-
Chr2	5012681	5012704	+
Chr2	7184316	7184495	-
Chr2	2932277	2934860	-
Chr2	1676335	1676512	-
Chr2	1618500	1618680	-
Chr2	1729996	1731644	+
Chr2	9595648	9595828	-
Chr2	5291313	5291494	+
Chr2	5764282	5764463	+
Chr2	2562810	2570724	-
Chr2	2707345	2708993	-
Chr2	7045303	7045482	-
Chr2	6468577	6468705	-
Chr2	9197045	9197225	-
Chr2	4056001	4057620	-
Chr2	7409587	7409625	+
Chr2	6201469	6201528	-
Chr2	2911655	2913291	-
Chr2	3440472	3440652	-
Chr2	2014819	2015001	+
Chr2	8420065	8420114	-
Chr2	5173790	5176138	+
Chr2	9676565	9676747	+
Chr2	16769464	16769644	-
Chr2	4668661	4668843	+
Chr2	3580465	3582108	+
Chr2	1443864	1444044	-
Chr2	5842707	5842762	-
Chr2	2744548	2744725	-
Chr2	1466772	1466951	-
Chr2	12120408	12120587	-
Chr2	1524291	1524452	+
Chr2	10441388	10443044	-
Chr2	370117	370297	+
Chr2	4852584	4856562	+
Chr2	7975333	7975406	+
Chr2	5013760	5013821	-
Chr2	1025930	1026107	-
Chr2	2732865	2734487	-
Chr2	9818923	9819103	+
Chr2	4893331	4893397	-
Chr2	5262445	5264751	+
Chr2	4633478	4633658	+
Chr2	12733208	12733388	+
Chr2	808174	808354	+
Chr2	2964409	2964619	-
Chr2	3796608	3796789	+
Chr2	2446388	2446566	-
Chr2	1090323	1090484	+
Chr2	4430800	4430941	+
Chr2	4801104	4801284	+
Chr2	6166374	6166552	-
Chr2	4135423	4137080	+
Chr2	5822235	5822415	+
Chr2	2712873	2720794	+
Chr2	239109	239301	-
Chr2	5732216	5732411	+
Chr2	2732764	2732864	-
Chr2	7069464	7070960	+
Chr2	11845029	11845062	-
Chr2	7420541	7420748	-
Chr2	12110065	12110272	-
Chr2	13252943	13252994	+
Chr2	5737913	5739437	-
Chr2	10469081	10469136	+
Chr2	2954784	2954993	+
Chr2	14052027	14052178	-
Chr2	10629429	10629638	+
Chr2	3143093	3144613	-
Chr2	1575846	1576025	+
Chr2	18538349	18538556	-
Chr2	5758623	5761055	-
Chr2	18398702	18398912	+
Chr2	6217073	6217198	-
Chr2	4050152	4059366	+
Chr2	4676313	4677891	-
Chr2	226854	227064	+
Chr2	1368850	1370370	+
Chr2	4850643	4852159	-
Chr2	2911446	2911497	-
Chr2	4593321	4593530	-
Chr2	4082778	4082814	-
Chr2	2985784	2987306	+
Chr2	3454198	3454406	+
Chr2	4558526	4566131	-
Chr2	5291557	5291763	+
Chr2	10637422	10637467	-
Chr2	4143440	4143644	-
Chr2	9468320	9468352	-
Chr2	5119428	5120962	-
Chr2	5906005	5906209	-
Chr2	1078822	1079016	+
Chr2	6690900	6692436	-
Chr2	10628094	10628298	-
Chr2	6678408	6680828	-
Chr2	3558188	3559719	-
Chr2	1982479	1982683	-
Chr2	9277132	9277339	+
Chr2	9796485	9798016	+
Chr2	1410523	1410600	-
Chr2	5171552	5171760	+
Chr2	4609335	4609541	-
Chr2	4485818	4486024	-
Chr2	1174274	1174479	-
Chr2	3010237	3012123	+
Chr2	12876125	12877655	-
Chr2	888777	888895	-
Chr2	9983253	9983460	+
Chr2	5056789	5056994	-
Chr2	3798604	3798774	-
Chr2	1371865	1372073	-
Chr2	2114698	2114875	-
Chr2	9761446	9761658	-
Chr2	3512974	3513188	+
Chr2	717050	717156	-
Chr2	16340933	16348707	-
Chr2	254128	254204	+
Chr2	768259	768473	+
Chr2	7370329	7370543	+
Chr2	3213482	3213696	+
Chr2	4773850	4775331	-
Chr2	4598865	4609295	-
Chr2	12475703	12475916	-
Chr2	4430631	4430799	-
Chr2	6295972	6296046	+
Chr2	7056777	7056994	+
Chr2	16574501	16574718	+
Chr2	4417170	4418648	-
Chr2	10081863	10083344	+
Chr2	17417947	17419429	-
Chr2	9892447	9892547	+
Chr2	6645494	6646976	+
Chr2	7916799	7916844	-
Chr2	3512231	3512447	+
Chr2	1385882	1385950	-
Chr2	152016	152232	+
Chr2	753052	753260	-
Chr2	10931032	10931246	+
Chr2	12030432	12031917	+
Chr2	5534495	5534704	-
Chr2	5119170	5119427	-
Chr2	2492018	2494444	+
Chr2	5170020	5171528	-
Chr2	17095130	17095512	+
Chr2	4379829	4381342	+
Chr2	4065716	4067227	-
Chr2	10945432	10945641	-
Chr2	4568067	4568090	+
Chr2	8202938	8203148	-
Chr2	2479446	2480950	+
Chr2	1716643	1716853	-
Chr2	11041547	11041585	-
Chr2	3092730	3092770	-
Chr2	7005164	7005375	-
Chr2	4082606	4082777	+
Chr2	4967928	4969477	-
Chr2	934043	934254	-
Chr2	8201962	8202175	+
Chr2	2480951	2480970	+
Chr2	2117334	2118833	-
Chr2	5013129	5013339	-
Chr2	2028133	2028156	-
Chr2	13906366	13908806	-
Chr2	6133922	6134198	+
Chr2	2342084	2342287	-
Chr2	4668455	4668660	+
Chr2	1829436	1829456	-
Chr2	3586373	3594041	-
Chr2	3676270	3680275	-
Chr2	5453644	5453840	-
Chr2	1607837	1609415	-
Chr2	1887866	1888061	-
Chr2	4827633	4829199	+
Chr2	11011138	11011335	+
Chr2	5983828	5984023	-
Chr2	12144802	12144976	+
Chr2	8516300	8516496	-
Chr2	9193726	9195279	-
Chr2	7192297	7192493	-
Chr2	4021315	4022871	-
Chr2	18292355	18292554	+
Chr2	15221761	15221958	-
Chr2	511832	511913	-
Chr2	2535983	2536163	-
Chr2	1545824	1546014	-
Chr2	11217200	11217399	+
Chr2	5426924	5427122	+
Chr2	4590886	4592446	-
Chr2	176784	176982	+
Chr2	5607740	5609302	+
Chr2	4155666	4157504	+
Chr2	11750073	11750268	-
Chr2	11285067	11287457	-
Chr2	10018073	10020460	+
Chr2	10637468	10639040	+
Chr2	6221517	6221710	-
Chr2	1866065	1866089	-
Chr2	5387019	5388592	+
Chr2	3200282	3200475	-
Chr2	3552889	3554461	-
Chr2	5453269	5453327	-
Chr2	12539441	12541817	-
Chr2	3023065	3023260	+
Chr2	1291616	1293187	+
Chr2	2121052	2121245	-
Chr2	1272287	1272480	-
Chr2	2744283	2744479	+
Chr2	10037354	10037551	+
Chr2	1297714	1297909	-
Chr2	4175505	4183067	+
Chr2	7975407	7975458	+
Chr2	4067714	4067908	-
Chr2	2691572	2693140	+
Chr2	517195	517420	-
Chr2	287354	287547	-
Chr2	11376153	11376347	-
Chr2	5098829	5099023	-
Chr2	15377135	15377332	-
Chr2	9058706	9058903	-
Chr2	2660736	2660935	+
Chr2	1638251	1639794	+
Chr2	6982181	6982382	-
Chr2	18351724	18351925	-
Chr2	18890618	18890819	-
Chr2	2382311	2382673	-
Chr2	2021016	2022558	-
Chr2	4449036	4449656	+
Chr2	4848344	4848498	+
Chr2	2138077	2138122	-
Chr2	17483665	17485208	+
Chr2	1484109	1484259	+
Chr2	3098017	3107253	+
Chr2	3213375	3213481	-
Chr2	6142984	6143023	-
Chr2	6214710	6214915	+
Chr2	19235687	19237227	-
Chr2	4684653	4687069	+
Chr2	1573503	1573617	+
Chr2	6680829	6683312	+
Chr2	4687424	4689870	+
Chr2	6793302	6793506	+
Chr2	5030655	5030857	-
Chr2	6524256	6533075	-
Chr2	2961090	2961138	-
Chr2	2593231	2593431	-
Chr2	2494445	2494503	+
Chr2	4970347	4970547	-
Chr2	2280055	2282263	+
Chr2	17092869	17093069	+
Chr2	42129	49796	-
Chr2	715391	716942	-
Chr2	1777029	1777227	-
Chr2	2312504	2312702	-
Chr2	3572920	3573118	-
Chr2	19585630	19585830	+
Chr2	6718379	6719933	+
Chr2	6922410	6922448	+
Chr2	7813403	7813435	-
Chr2	1276363	1276580	+
Chr2	3728862	3731260	-
Chr2	8939278	8939479	+
Chr2	6046689	6046890	+
Chr2	16875598	16877147	+
Chr2	5657467	5657666	-
Chr2	8150502	8150703	+
Chr2	5269210	5271410	+
Chr2	6444581	6446129	-
Chr2	4265050	4274213	+
Chr2	3517283	3517482	-
Chr2	12505835	12506034	-
Chr2	3192433	3192625	+
Chr2	11461331	11461532	+
Chr2	1992559	1992812	-
Chr2	5161733	5163010	-
Chr2	5868711	5868964	-
Chr2	5011916	5012225	+
Chr2	642414	642723	+
Chr2	4644472	4645636	+
Chr2	3823960	3825125	+
Chr2	6271898	6272207	+
Chr2	6414431	6414738	-
Chr2	665356	665420	+
Chr2	6948414	6948721	-
Chr2	8067561	8068726	-
Chr2	8824417	8824727	+
Chr2	11362715	11363023	-
Chr2	6259435	6260598	+
Chr2	10071018	10071326	-
Chr2	4027024	4045789	+
Chr2	11561923	11562234	+
Chr2	9185678	9185740	-
Chr2	6084727	6084947	+
Chr2	2882424	2882730	-
Chr2	6136292	6139070	+
Chr2	9344287	9344598	+
Chr2	8420246	8420456	+
Chr2	17008780	17009940	-
Chr2	10306312	10306621	-
Chr2	6179827	6180959	+
Chr2	8414489	8414798	-
Chr2	4693802	4694973	+
Chr2	2760050	2760358	+
Chr2	2119214	2119307	+
Chr2	5277053	5278229	+
Chr2	1889938	1890242	-
Chr2	1409368	1409588	+
Chr2	2590472	2590778	+
Chr2	1037743	1038911	-
Chr2	5458995	5460170	-
Chr2	7529549	7529641	+
Chr2	4702801	4706947	+
Chr2	19433253	19433558	-
Chr2	2471485	2472656	-
Chr2	7904254	7904452	+
Chr2	4211223	4211250	-
Chr2	13951786	13952092	-
Chr2	4313219	4313258	+
Chr2	1462965	1463245	-
Chr2	1902752	1903923	+
Chr2	11495112	11495420	+
Chr2	1086754	1086980	-
Chr2	5406720	5407889	-
Chr2	5325567	5326737	-
Chr2	5713762	5714069	+
Chr2	1903924	1903952	+
Chr2	17583627	17583933	-
Chr2	1298992	1300169	+
Chr2	7347477	7347548	-
Chr2	13064197	13064500	-
Chr2	11206286	11206358	-
Chr2	3375563	3375878	+
Chr2	130120	130433	-
Chr2	8160218	8160531	-
Chr2	11168782	11168808	+
Chr2	8060961	8062109	-
Chr2	10769094	10770246	+
Chr2	1523784	1524096	-
Chr2	14951520	14951835	+
Chr2	2274203	2280054	+
Chr2	17277612	17277925	-
Chr2	10046936	10047251	+
Chr2	2699624	2700772	+
Chr2	30318	31444	+
Chr2	4301568	4301882	-
Chr2	2913292	2913609	+
Chr2	2134453	2137255	+
Chr2	6852468	6855257	-
Chr2	19224889	19226034	-
Chr2	1387044	1387174	+
Chr2	5189484	5189797	-
Chr2	2593735	2596529	-
Chr2	11043582	11044727	-
Chr2	1142449	1142763	-
Chr2	6179794	6179826	+
Chr2	4996264	4996578	+
Chr2	3531975	3532287	-
Chr2	2358737	2359049	+
Chr2	1792480	1793634	-
Chr2	14492957	14492976	+
Chr2	6805102	6805412	-
Chr2	5807652	5807813	-
Chr2	11948632	11948942	-
Chr2	12320222	12320534	+
Chr2	2867963	2868063	+
Chr2	4294013	4294325	+
Chr2	6479101	6479413	+
Chr2	6527043	6528197	-
Chr2	1076416	1076727	-
Chr2	15847026	15847339	+
Chr2	340231	340543	-
Chr2	11373154	11374305	-
Chr2	2838795	2841583	+
Chr2	2101051	2101414	-
Chr2	14108788	14109939	-
Chr2	3740944	3742095	-
Chr2	5416974	5418128	+
Chr2	11100068	11101221	-
Chr2	6903698	6904011	+
Chr2	6900802	6900958	-
Chr2	4835620	4835933	+
Chr2	10637343	10637421	-
Chr2	7616380	7616686	+
Chr2	4357343	4358519	-
Chr2	8530189	8531377	+
Chr2	6103712	6104008	-
Chr2	3036102	3036399	-
Chr2	7987785	7988064	-
Chr2	10749223	10750409	-
Chr2	9437930	9438226	-
Chr2	7581422	7584152	+
Chr2	6837289	6843328	+
Chr2	1456772	1457070	+
Chr2	4610349	4610646	-
Chr2	4186081	4188815	-
Chr2	2057979	2058044	-
